"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"MTCORSVA.afm.gz","C:\Windows\Fonts\MTCORSVA.TTF","Monotype Corsiva","Monotype Corsiva","MonotypeCorsiva",FALSE,FALSE,FALSE,NA
NA,"OUTLOOK.afm.gz","C:\Windows\Fonts\OUTLOOK.TTF","MS Outlook","MS Outlook","MSOutlook",FALSE,FALSE,FALSE,NA
NA,"REFSAN.afm.gz","C:\Windows\Fonts\REFSAN.TTF","MS Reference Sans Serif","MS Reference Sans Serif","MSReferenceSansSerif",FALSE,FALSE,FALSE,NA
NA,"REFSPCL.afm.gz","C:\Windows\Fonts\REFSPCL.TTF","MS Reference Specialty","MS Reference Specialty","MSReferenceSpecialty",FALSE,FALSE,FALSE,NA
NA,"MTEXTRA.afm.gz","C:\Windows\Fonts\MTEXTRA.TTF","MT Extra","MT Extra","MT-Extra",FALSE,FALSE,FALSE,NA
NA,"mvboli.afm.gz","C:\Windows\Fonts\mvboli.ttf","MV Boli","MV Boli","MVBoli",FALSE,FALSE,FALSE,NA
NA,"mmrtext.afm.gz","C:\Windows\Fonts\mmrtext.ttf","Myanmar Text","Myanmar Text","MyanmarText",FALSE,FALSE,FALSE,NA
NA,"mmrtextb.afm.gz","C:\Windows\Fonts\mmrtextb.ttf","Myanmar Text Bold","Myanmar Text","MyanmarText-Bold",TRUE,FALSE,FALSE,NA
NA,"palab.afm.gz","C:\Windows\Fonts\palab.ttf","Palatino Linotype Bold","Palatino Linotype","PalatinoLinotype-Bold",TRUE,FALSE,FALSE,NA
NA,"palabi.afm.gz","C:\Windows\Fonts\palabi.ttf","Palatino Linotype Bold Italic","Palatino Linotype","PalatinoLinotype-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"palai.afm.gz","C:\Windows\Fonts\palai.ttf","Palatino Linotype Italic","Palatino Linotype","PalatinoLinotype-Italic",FALSE,TRUE,FALSE,NA
NA,"pala.afm.gz","C:\Windows\Fonts\pala.ttf","Palatino Linotype","Palatino Linotype","PalatinoLinotype-Roman",FALSE,FALSE,FALSE,NA
NA,"PAPYRUS.afm.gz","C:\Windows\Fonts\PAPYRUS.TTF","Papyrus","Papyrus","Papyrus-Regular",FALSE,FALSE,FALSE,NA
NA,"PRISTINA.afm.gz","C:\Windows\Fonts\PRISTINA.TTF","Pristina","Pristina","Pristina-Regular",FALSE,FALSE,FALSE,NA
NA,"SansSerifCollection.afm.gz","C:\Windows\Fonts\SansSerifCollection.ttf","Sans Serif Collection","Sans Serif Collection","SansSerifCollection",FALSE,FALSE,FALSE,NA
NA,"SegoeIcons.afm.gz","C:\Windows\Fonts\SegoeIcons.ttf","Segoe Fluent Icons","Segoe Fluent Icons","SegoeFluentIcons",FALSE,FALSE,FALSE,NA
NA,"segmdl2.afm.gz","C:\Windows\Fonts\segmdl2.ttf","Segoe MDL2 Assets","Segoe MDL2 Assets","SegoeMDL2Assets",FALSE,FALSE,FALSE,NA
NA,"segoepr.afm.gz","C:\Windows\Fonts\segoepr.ttf","Segoe Print","Segoe Print","SegoePrint",FALSE,FALSE,FALSE,NA
NA,"segoeprb.afm.gz","C:\Windows\Fonts\segoeprb.ttf","Segoe Print Bold","Segoe Print","SegoePrint-Bold",TRUE,FALSE,FALSE,NA
NA,"segoesc.afm.gz","C:\Windows\Fonts\segoesc.ttf","Segoe Script","Segoe Script","SegoeScript",FALSE,FALSE,FALSE,NA
NA,"segoescb.afm.gz","C:\Windows\Fonts\segoescb.ttf","Segoe Script Bold","Segoe Script","SegoeScript-Bold",TRUE,FALSE,FALSE,NA
NA,"segoeui.afm.gz","C:\Windows\Fonts\segoeui.ttf","Segoe UI","Segoe UI","SegoeUI",FALSE,FALSE,FALSE,NA
NA,"segoeuib.afm.gz","C:\Windows\Fonts\segoeuib.ttf","Segoe UI Bold","Segoe UI","SegoeUI-Bold",TRUE,FALSE,FALSE,NA
NA,"segoeuiz.afm.gz","C:\Windows\Fonts\segoeuiz.ttf","Segoe UI Bold Italic","Segoe UI","SegoeUI-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"segoeuii.afm.gz","C:\Windows\Fonts\segoeuii.ttf","Segoe UI Italic","Segoe UI","SegoeUI-Italic",FALSE,TRUE,FALSE,NA
NA,"segoeuil.afm.gz","C:\Windows\Fonts\segoeuil.ttf","Segoe UI Light","Segoe UI Light","SegoeUI-Light",FALSE,FALSE,FALSE,NA
NA,"seguili.afm.gz","C:\Windows\Fonts\seguili.ttf","Segoe UI Light Italic","Segoe UI Light","SegoeUI-LightItalic",FALSE,TRUE,FALSE,NA
NA,"seguisb.afm.gz","C:\Windows\Fonts\seguisb.ttf","Segoe UI Semibold","Segoe UI Semibold","SegoeUI-Semibold",FALSE,FALSE,FALSE,NA
NA,"seguisbi.afm.gz","C:\Windows\Fonts\seguisbi.ttf","Segoe UI Semibold Italic","Segoe UI Semibold","SegoeUI-SemiboldItalic",FALSE,TRUE,FALSE,NA
NA,"segoeuisl.afm.gz","C:\Windows\Fonts\segoeuisl.ttf","Segoe UI Semilight","Segoe UI Semilight","SegoeUI-Semilight",FALSE,FALSE,FALSE,NA
NA,"seguisli.afm.gz","C:\Windows\Fonts\seguisli.ttf","Segoe UI Semilight Italic","Segoe UI Semilight","SegoeUI-SemilightItalic",FALSE,TRUE,FALSE,NA
NA,"seguibl.afm.gz","C:\Windows\Fonts\seguibl.ttf","Segoe UI Black","Segoe UI Black","SegoeUIBlack",FALSE,FALSE,FALSE,NA
NA,"seguibli.afm.gz","C:\Windows\Fonts\seguibli.ttf","Segoe UI Black Italic","Segoe UI Black","SegoeUIBlack-Italic",FALSE,TRUE,FALSE,NA
NA,"seguiemj.afm.gz","C:\Windows\Fonts\seguiemj.ttf","Segoe UI Emoji","Segoe UI Emoji","SegoeUIEmoji",FALSE,FALSE,FALSE,NA
NA,"seguihis.afm.gz","C:\Windows\Fonts\seguihis.ttf","Segoe UI Historic","Segoe UI Historic","SegoeUIHistoric",FALSE,FALSE,FALSE,NA
NA,"seguisym.afm.gz","C:\Windows\Fonts\seguisym.ttf","Segoe UI Symbol","Segoe UI Symbol","SegoeUISymbol",FALSE,FALSE,TRUE,NA
NA,"SegUIVar.afm.gz","C:\Windows\Fonts\SegUIVar.ttf","Segoe UI Variable","Segoe UI Variable","SegoeUIVariable",FALSE,FALSE,FALSE,NA
NA,"simsunb.afm.gz","C:\Windows\Fonts\simsunb.ttf","SimSun-ExtB","SimSun-ExtB","SimSun-ExtB",FALSE,FALSE,FALSE,NA
NA,"SimsunExtG.afm.gz","C:\Windows\Fonts\SimsunExtG.ttf","SimSun-ExtG","SimSun-ExtG","SimSun-ExtG",FALSE,FALSE,FALSE,NA
NA,"SitkaVF.afm.gz","C:\Windows\Fonts\SitkaVF.ttf","Sitka Text","Sitka Text","SitkaText",FALSE,FALSE,FALSE,NA
NA,"SitkaVF-Italic.afm.gz","C:\Windows\Fonts\SitkaVF-Italic.ttf","Sitka Text Italic","Sitka Text","SitkaTextItalic",FALSE,TRUE,FALSE,NA
NA,"sylfaen.afm.gz","C:\Windows\Fonts\sylfaen.ttf","Sylfaen","Sylfaen","Sylfaen",FALSE,FALSE,FALSE,NA
NA,"symbol.afm.gz","C:\Windows\Fonts\symbol.ttf","Symbol","Symbol","SymbolMT",FALSE,FALSE,TRUE,NA
NA,"SYP_____.afm.gz","C:\Windows\Fonts\SYP_____.ttf","SymbolPi-Normal","SymbolPi","SymbolPi-Normal",FALSE,FALSE,TRUE,NA
NA,"tahoma.afm.gz","C:\Windows\Fonts\tahoma.ttf","Tahoma","Tahoma","Tahoma",FALSE,FALSE,FALSE,NA
NA,"tahomabd.afm.gz","C:\Windows\Fonts\tahomabd.ttf","Tahoma Bold","Tahoma","Tahoma-Bold",TRUE,FALSE,FALSE,NA
NA,"TEMPSITC.afm.gz","C:\Windows\Fonts\TEMPSITC.TTF","Tempus Sans ITC","Tempus Sans ITC","TempusSansITC",FALSE,FALSE,FALSE,NA
NA,"THR_____.afm.gz","C:\Windows\Fonts\THR_____.ttf","Thames","Thames","Thames",FALSE,FALSE,FALSE,NA
NA,"THB_____.afm.gz","C:\Windows\Fonts\THB_____.ttf","Thames Bold","Thames","Thames-Bold",TRUE,FALSE,FALSE,NA
NA,"THBI____.afm.gz","C:\Windows\Fonts\THBI____.ttf","Thames Bold Italic","Thames","Thames-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"THI_____.afm.gz","C:\Windows\Fonts\THI_____.ttf","Thames Italic","Thames","Thames-Italic",FALSE,TRUE,FALSE,NA
NA,"timesbi.afm.gz","C:\Windows\Fonts\timesbi.ttf","Times New Roman Bold Italic","Times New Roman","TimesNewRomanPS-BoldItalicMT",TRUE,TRUE,FALSE,NA
NA,"timesbd.afm.gz","C:\Windows\Fonts\timesbd.ttf","Times New Roman Bold","Times New Roman","TimesNewRomanPS-BoldMT",TRUE,FALSE,FALSE,NA
NA,"timesi.afm.gz","C:\Windows\Fonts\timesi.ttf","Times New Roman Italic","Times New Roman","TimesNewRomanPS-ItalicMT",FALSE,TRUE,FALSE,NA
NA,"times.afm.gz","C:\Windows\Fonts\times.ttf","Times New Roman","Times New Roman","TimesNewRomanPSMT",FALSE,FALSE,FALSE,NA
NA,"trebucbi.afm.gz","C:\Windows\Fonts\trebucbi.ttf","Trebuchet MS Bold Italic","Trebuchet MS","Trebuchet-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"trebuc.afm.gz","C:\Windows\Fonts\trebuc.ttf","Trebuchet MS","Trebuchet MS","TrebuchetMS",FALSE,FALSE,FALSE,NA
NA,"trebucbd.afm.gz","C:\Windows\Fonts\trebucbd.ttf","Trebuchet MS Bold","Trebuchet MS","TrebuchetMS-Bold",TRUE,FALSE,FALSE,NA
NA,"trebucit.afm.gz","C:\Windows\Fonts\trebucit.ttf","Trebuchet MS Italic","Trebuchet MS","TrebuchetMS-Italic",FALSE,TRUE,FALSE,NA
NA,"UbuntuMono[wght].afm.gz","C:\Users\Admin\AppData\Local\Microsoft\Windows\Fonts\UbuntuMono[wght].ttf","Ubuntu Mono Regular","Ubuntu Mono","UbuntuMono-Regular",FALSE,FALSE,FALSE,NA
NA,"verdana.afm.gz","C:\Windows\Fonts\verdana.ttf","Verdana","Verdana","Verdana",FALSE,FALSE,FALSE,NA
NA,"verdanab.afm.gz","C:\Windows\Fonts\verdanab.ttf","Verdana Bold","Verdana","Verdana-Bold",TRUE,FALSE,FALSE,NA
NA,"verdanaz.afm.gz","C:\Windows\Fonts\verdanaz.ttf","Verdana Bold Italic","Verdana","Verdana-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"verdanai.afm.gz","C:\Windows\Fonts\verdanai.ttf","Verdana Italic","Verdana","Verdana-Italic",FALSE,TRUE,FALSE,NA
NA,"webdings.afm.gz","C:\Windows\Fonts\webdings.ttf","Webdings","Webdings","Webdings",FALSE,FALSE,FALSE,NA
NA,"wingding.afm.gz","C:\Windows\Fonts\wingding.ttf","Wingdings","Wingdings","Wingdings-Regular",FALSE,FALSE,FALSE,NA
NA,"WINGDNG2.afm.gz","C:\Windows\Fonts\WINGDNG2.TTF","Wingdings 2","Wingdings 2","Wingdings2",FALSE,FALSE,FALSE,NA
NA,"WINGDNG3.afm.gz","C:\Windows\Fonts\WINGDNG3.TTF","Wingdings 3","Wingdings 3","Wingdings3",FALSE,FALSE,FALSE,NA
NA,"ZWAdobeF.afm.gz","C:\Windows\Fonts\ZWAdobeF.TTF","ZWAdobeF","ZWAdobeF","ZWAdobeF",FALSE,FALSE,FALSE,NA
